UniqueIssueID,FirstSeenPR,LastSeenPR,Severity,SeverityChanges,Location,Description,Status,ResolutionPR,ResolutionEvidence,DuplicateCount,DuplicateIssueIDs,Source
U001,74,74,MEDIUM,,Claude Code Bot,"- Documentation Additions Not Yet in CLAUDE.md. PR includes 2 large markdown files (`TESTING-SUMMARY-FINAL.md`, `bugs-investigation.md`, `bugs-manual-testing-report.md`) but these are not referenced i",OPEN,,No resolution found,1,PR74-1,Claude Code Bot
U002,74,74,MEDIUM,,Claude Code Bot,"- Empty Feature Barrel Export. File exists but exports nothing (unused in Phase 1). Creates false expectation that feature is partially implemented. Per CLAUDE.md: ""Each feature has an index.ts barrel",OPEN,,No resolution found,1,PR74-2,Claude Code Bot
U003,74,74,MEDIUM,,Claude Code Bot,"- New Dependencies Not Documented in CLAUDE.md. PR adds 3 new runtime dependencies (`canvas-confetti@1.9.3`, `date-fns@4.1.0`, `@radix-ui/react-icons@1.3.2`) but `CLAUDE.md` ""Technology Stack"" section",OPEN,,No resolution found,1,PR74-3,Claude Code Bot
U004,74,74,LOW,,Claude Code Bot,"- Spec Files Include Phase 8 Implementation Prompt. This PR is Feature 064 Phase 1, but file references Feature 063 Phase 8. Likely leftover from previous work session. **Recommendation Option A**: Re",OPEN,,No resolution found,1,PR74-4,Claude Code Bot
U005,74,74,LOW,,Claude Code Bot,"- Large Documentation Files in PR. PR includes 3 large markdown files (1,500+ lines total) that document Feature 063 bug fixes, not Feature 064 Phase 1. Mixing features in one PR. **Recommendation Opt",OPEN,,No resolution found,1,PR74-5,Claude Code Bot
U006,75,75,Nitpick,,CodeRabbit AI,"- Wrap bare URLs in markdown link syntax. Lines 535–536 contain bare URLs (https://ui.shadcn.com/...). Per markdown best practices, wrap these as `(https://ui.shadcn.com/examples/dashboard)` to improv",UNKNOWN,,Nitpick - resolution unclear,1,PR75-1,CodeRabbit AI
U007,75,75,Nitpick,,CodeRabbit AI,"- Add language identifiers to fenced code blocks. Lines 8, 251, and 360 contain bash/shell code blocks without language tags. Specify the language: ` ```bash ... ``` ` instead of ` ```...``` ` for syn",UNKNOWN,,Nitpick - resolution unclear,1,PR75-2,CodeRabbit AI
U008,75,75,Nitpick,,CodeRabbit AI,- Add language identifier to bash code block. Line 8 code block should specify ` ```bash ` instead of ` ``` ` (MD040).,UNKNOWN,,Nitpick - resolution unclear,1,PR75-3,CodeRabbit AI
U009,75,75,Nitpick,,CodeRabbit AI,"- Use asterisks (`**`) instead of underscores (`__`) for strong emphasis. Markdown best practice (MD050): lines 33–35, 43–46, 55–58, 71, 141 use `__text__` for bold. Change to `**text**` for consisten",UNKNOWN,,Nitpick - resolution unclear,1,PR75-4,CodeRabbit AI
U010,75,75,Nitpick,,CodeRabbit AI,- Add language identifier to bash code block. Line 248: use ` ```bash ` instead of ` ``` ` (MD040).,UNKNOWN,,Nitpick - resolution unclear,1,PR75-5,CodeRabbit AI
